language,emoji
ruby,:horse:
go,:horse:
javascript,:hotel:
javascript,:hubot:
ruby,:italy:
javascript,:japan:
javascript,:jeans:
java,:katze:
coffeescript,:gun:
tex,:koala:
css,:koala:
javascript,:koala:
python,:label:
ruby,:build:
javascript,:metal:
ruby,:metal:
javascript,:metal:
shell,:metal:
javascript,:metal:
javascript,:metal:
julia,:metal:
javascript,:metal:
css,:metal:
css,:metal:
css,:metal:
ruby,:metal:
swift,:movie:
ruby,:nocov:
ruby,:nodoc:
ruby,:nodoc:
ruby,:nodoc:
ruby,:nodoc:
ruby,:startdoc:
ruby,:enddoc:
ruby,:enddoc:
ruby,:enddoc:
ruby,:stopdoc:
perl,:notes:
html,:notes:
clojure,:punch:
ruby,:punch:
clojure,:punch:
javascript,:sails:
javascript,:santa:
java,:santa:
css,:santa:
elm,:santa:
ruby,:shame:
javascript,:sheep:
javascript,:sheep:
c#,:sheep:
viml,:shell:
javascript,:shirt:
javascript,:shirt:
javascript,:shirt:
coffeescript,:shirt:
javascript,:shirt:
c,:shirt:
c,:shirt:
css,:shirt:
javascript,:shirt:
c#,:shirt:
javascript,:shirt:
coffeescript,:shirt:
javascript,:shirt:
javascript,:shirt:
rust,:shirt:
ruby,:shirt:
coffeescript,:shirt:
c++,:shirt:
javascript,:shirt:
coffeescript,:shirt:
javascript,:shirt:
javascript,:skull:
html,:skull:
javascript,:skull:
javascript,:skull:
ruby,:skull:
ruby,:skull:
javascript,:smile:
php,:smile:
python,:smile:
python,:smile:
javascript,:smile:
javascript,:smile:
ruby,:smile:
javascript,:smile:
javascript,:smile:
javascript,:smile:
lua,:smile:
html,:smile:
php,:smile:
shell,:smile:
html,:smile:
c#,:smile:
css,:smile:
css,:smile:
shell,:smile:
python,:smile:
python,:smile:
javascript,:smile:
javascript,:smile:
html,:smile:
javascript,:smile:
javascript,:smile:
go,:smile:
javascript,:smile:
python,:smile:
ruby,:smile:
javascript,:smile:
javascript,:smile:
html,:smile:
css,:smile:
coffeescript,:smile:
c#,:smile:
javascript,:smile:
javascript,:smile:
java,:smile:
javascript,:smile:
c#,:satisfied:
php,:satisfied:
php,:smirk:
c#,:smirk:
arduino,:smirk:
html,:smirk:
c++,:snake:
javascript,:snake:
ruby,:snake:
python,:snake:
javascript,:stars:
haskell,:stars:
haskell,:state:
batchfile,:sunny:
javascript,:sunny:
clojure,:sunny:
ruby,:sunny:
ruby,:sushi:
ruby,:sushi:
clojure,:sweat:
clojure,:sweat:
javascript,:sweat:
javascript,:tiger:
mathematica,:tiger:
javascript,:tiger:
php,:tiger:
haskell,:title:
go,:troll:
ruby,:troll:
javascript,:troll:
javascript,:truck:
javascript,:watch:
javascript,:watch:
rust,:whale:
shell,:whale:
javascript,:woman:
css,:ok_woman:
python,:return:
javascript,:accept:
c,:camel:
